Elsődleges forrás;Terület;Megye;Járás;rekodszám;gimmisn;govcenter_id;komdat_id;last_update;check_date;url
govcenter;Budapest06;Budapest;Budapest 06;9266;I;182;;2025.04.16;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=182
govcenter;Budapest07;Budapest;Budapest 07;8325;I;647;;2025.04.17;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=647
komdat;Budapest08;Budapest;Budapest 08;1402;I;58;167e1e18-65a1-4c87-8ecb-33afe0e654b5;2025.04.25;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=167e1e18-65a1-4c87-8ecb-33afe0e654b5
oknyir;Budapest09;Budapest;Budapest 09;295;I;;;2022.11.25;2022.11.30;
önkormányzat;Budapest10;Budapest;Budapest 10;2173;I;;;2022.11.28;2022.11.30;https://www.kobanya.hu/index.php?module=iparker&tipus=Uzlet
govcenter;Budapest11;Budapest;Budapest 11;5873;I;465;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=465
govcenter;Budapest12;Budapest;Budapest 12;2700;I;126;;2025.04.22;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=126
govcenter;Budapest13;Budapest;Budapest 13;9804;I;1;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=1
govcenter;Budapest14;Budapest;Budapest 14;7531;I;563;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=563
govcenter;Budapest15;Budapest;Budapest 15;5583;I;169;;2025.04.17;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=169
govcenter;Budapest16;Budapest;Budapest 16;3480;I;10;;2025.04.16;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=10
oknyir;Budapest17;Budapest;Budapest 17;916;I;;;2022.11.29;2022.11.30;
govcenter;Budapest18;Budapest;Budapest 18;8044;I;462;;2022.04.20;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=462
govcenter;Budapest19;Budapest;Budapest 19;4842;I;548;;2025.04.16;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=548
komdat;Budapest20;Budapest;Budapest 20;6436;I;578;83BE8C4C-DFAB-45C6-B922-6126741A3C57;2025.04.11;2025.04.23;https://iparkerpublikalas.komdat.hu/?onkid=83BE8C4C-DFAB-45C6-B922-6126741A3C57
govcenter;Budapest21;Budapest;Budapest 21;4611;I;564;;2025.04.23;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=564
govcenter;Budapest22;Budapest;Budapest 22;1899;I;583;;2025.04.01;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=583
govcenter;Budapest23;Budapest;Budapest 23;2802;I;587;;2025.04.14;2025.04.23;https://www.govcenter.hu/uzlet/Public/Uzleteklista.aspx?onk_id=587
asp;Buják;Nógrád;Pásztói;;;;;;;https://bujak.asp.lgov.hu/nyilvantartasok
asp;Ceglédbercel;Pest;Ceglédi;;;;;;;https://cegledbercel.asp.lgov.hu/nyilvantartasok
asp;Cered;Nógrád;Salgótarjáni;;;;;;;https://cered.asp.lgov.hu/nyilvantartasok
asp;Cikó;Tolna;Bonyhádi;;;;;;;https://ciko.asp.lgov.hu/nyilvantartasok
oknyir;Csárdaszállás;Békés;Gyomaendrődi;;I;;;;;
asp;Csátalja;Bács-Kiskun;Bajai;;;;;;;https://csatalja.asp.lgov.hu/nyilvantartasok
asp;Csengőd;Bács-Kiskun;Kiskőrösi;;;;;;;https://csengod.asp.lgov.hu/nyilvantartasok
asp;Cserkeszőlő;Jász-Nagykun-Szolnok;Kunszentmártoni;124;I;;;2024.11.20;2025.04.23;https://cserkeszolo.asp.lgov.hu/nyilvantartasok
asp;Csesztreg;Zala;Lenti;;;;;;;https://csesztreg.asp.lgov.hu/nyilvantartasok
asp inaktív;Csobánka;Pest;Szentendrei;;I;492;;2015.11.15;2022.04.05;https://csobanka.asp.lgov.hu/nyilvantartasok
asp;Csolnok;Komárom-Esztergom;Esztergomi;34;I;;;2024.01.19;2025.04.23;https://csolnok.asp.lgov.hu/nyilvantartasok
oknyir;Csongrád;Csongrád-Csanád;Csongrádi;178;I;;;2022.11.17;2022.11.30;
oknyir;Csopak;Veszprém;Balatonfüredi;;I;;;2020.09.30;2021.04.11;
